Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Denmark,MtCO2e,51.32,61.64,55.79,58.18,62.08,58.63,71.98,62.49,58.28,55.52,51.19,52.35,52.54,57.79,52.35,49.08,56.68,51.83,48.97,47.06,47.32,42.16,37.06,38.72,34.56,31.96,33.66
Angola,MtCO2e,6.2,6.51,6.15,6.77,6.41,10.58,11.31,11.58,11.19,12.52,12.26,12.66,13.38,17.67,18.97,17.74,19.84,22.79,24.38,26.48,27.8,28.95,29.18,30.75,32.05,32.55,32.25
Azerbaijan,MtCO2e,57.53,67.07,44.11,53.36,47.26,45.69,40.08,39.22,39.32,38.81,39.98,38.28,37.64,33.86,33.36,35.79,33.39,26.8,28.9,24.4,23.4,28.14,30.1,30.8,31.73,31.83,32.23
New Zealand,MtCO2e,22.01,22.31,23.81,23.5,23.85,24.05,25.11,27.26,26.86,28.21,29.05,31.31,31.05,33.15,32.44,33.74,33.84,32.76,33.73,30.83,30.63,30.03,31.52,31.01,31.21,31.41,30.61
Slovakia,MtCO2e,54.8,48,44.7,43.3,40.5,41.1,41.2,41,39.6,38.8,36.8,37.31,37.02,37.41,36.11,37.4,36.51,35.73,35.52,32.62,34.72,32.82,31.33,31.72,29.21,29.61,30.41
Bahrain,MtCO2e,10.6,10.2,12,12.9,13.3,13.5,14.2,14.3,15.5,15.5,15.9,16.3,17.2,17.9,17.7,20.6,22.4,22.9,24.5,24.5,25.5,25.6,26,28.4,29.7,30.1,29.6
Syria,MtCO2e,28.18,30.78,29.89,29.06,30.06,31.97,34.97,35.11,38.21,37.41,37.81,39.49,40.14,40.59,42.89,53.89,57.24,59.97,61.57,56.97,56.87,52.64,40.36,31.25,27.54,26.54,26.34
Tunisia,MtCO2e,12.2,12.5,13.42,14.72,14.51,14.61,15.41,16.11,16.81,17.71,18.31,19.05,18.99,19.22,19.82,20.31,21.02,21.34,21.44,21.66,24.06,22.64,23.87,23.76,25.16,25.96,25.36
North Korea,MtCO2e,116.9,110.9,97.8,89.7,81.9,76.5,67,64.6,59.6,65,69.9,72.3,69.1,70.5,72,75.3,76.5,63.3,70.3,52.9,49.2,34.5,36,25.1,28.6,22.4,25.3
Jordan,MtCO2e,9.1,9.1,10.6,10.8,11.4,12.1,12.4,12.9,13.6,13.6,14.3,14.1,15,14.7,16.6,18.2,18.4,19.2,18.4,19.3,18.7,19.8,22.7,22.3,24.1,23.7,23.8
Cuba,MtCO2e,34.1,26.5,21.2,19.7,21.1,22.4,24.4,26.67,26.36,27.16,27.46,26.56,25.36,24.66,24.56,25.26,25.56,26.36,25.76,26.36,29.61,27.85,28.15,26.65,26.35,26.85,23.35
Lebanon,MtCO2e,5.5,7,6.9,10.2,11,12.7,13.3,15.2,14.9,15.6,13.9,15.2,15.1,15.1,15.2,14.4,13.6,12.1,15.8,19.2,18.2,18.6,21.1,20.6,22.4,22.8,23.2
Dominican Republic,MtCO2e,7.3,7.8,8.9,9,10.5,11.1,12,13.8,15.8,16.8,17.6,17.9,19.6,17.6,16.3,17.2,18.5,18.9,18.7,17.9,19,19.3,19.9,19.8,19.6,21.6,22.4
Bosnia and Herzegovina,MtCO2e,24,21.5,16,13.3,3.2,3.4,4.1,8.6,10.6,10.3,13.8,13.5,14.2,14.5,15.1,15.8,17.4,18.4,20.3,20.2,20.5,23.5,21.7,21.5,19.1,19.1,21.8
Trinidad and Tobago,MtCO2e,13.82,12.58,11.76,12.18,12.8,12.96,13.24,13.58,13.82,14.03,14.42,15.79,16.45,15.3,15.7,19.85,21.86,23.51,22.88,21.47,23.51,23.51,23.2,23.89,23.58,21.98,21.38
Myanmar,MtCO2e,4.01,4.01,4.01,4.6,5.2,6.7,7.1,7,7.8,8.93,9.46,8.36,8.26,10.68,10.28,10.78,9.87,10.26,7.76,7.26,7.96,8.37,11.4,13.2,16.5,18.7,20.9
Sri Lanka,MtCO2e,3.6,3.8,4.9,4.7,5.3,5.4,8,8,8.3,9.1,10.7,10.3,10.9,11.9,12.3,13.4,11.8,12.9,12.1,11.5,12.4,14.6,16,13.6,16.7,19.5,20.9
Bolivia,MtCO2e,5.42,5.22,6.34,7.35,8.51,7.68,7.38,7.38,7.68,7.06,7.49,7.03,7.54,8.25,8.83,9.23,10.17,11.07,11.97,12.77,13.87,15.18,17.14,17.34,18.68,18.58,20.48
Sudan,MtCO2e,5.3,4.7,4.4,3,4.7,4.3,4.1,5,4.6,5.1,5.3,6.1,7.5,7.6,8.3,9.9,12.3,13.2,14.3,14.7,15,14.1,13.8,13.4,13.5,15.7,19
Mongolia,MtCO2e,12.7,14.6,12.7,11.8,10.3,10.3,8.7,8.4,8.4,8.6,8.9,9,9.6,9.3,9.6,10.9,12.5,12.8,12.7,13.5,14.1,15.6,16.9,18.2,17.9,17.1,17.9
Estonia,MtCO2e,35.2,31.5,23.4,18.2,17.6,15.8,16.8,16.5,16,14.9,14.4,15,14.6,16.5,16.5,16.8,15.3,19.2,17.6,14.7,18.6,17.6,16.4,18.8,17.4,15.1,16.4
Croatia,MtCO2e,20.3,14.6,14.1,14.8,14,14.7,14.7,16.2,17.7,17.5,16.9,17.9,18.8,20.3,19.6,19.8,20.1,21.2,20.2,19.1,18.2,18,16.3,16,15.2,15.6,16
Guatemala,MtCO2e,3.3,3.5,4.2,4.6,4.9,5.8,5.6,6.1,7.7,7.5,8.5,9,9.6,9.5,10.2,10.6,10.6,11.5,10.3,11.3,10.3,10.6,10.9,11.7,12.7,15.1,16
Kenya,MtCO2e,5.6,5.2,5.4,5.3,5.2,5.6,6.4,5.9,6.6,6.9,7.8,7,6.7,5.9,6.6,7.5,8.4,8.4,8.9,10.6,11.3,11.3,10.4,11.7,12.3,14.2,15.7
Slovenia,MtCO2e,13.6,12.8,12.6,13.3,13.2,14,15,15.3,15,14.6,14,14.9,15,15.1,15.1,15.5,15.8,15.8,16.8,15.2,15.4,15.4,15,14.2,12.8,12.8,13.4
Ghana,MtCO2e,2.5,2.3,2.6,2.7,2.9,3.3,3.5,3.5,5.6,5.9,5,5.5,6.7,6.3,5.9,6.3,7.6,8.2,7.7,9.2,10.4,11.18,12.97,13.76,13.41,14.21,12.91
Ethiopia,MtCO2e,2.1,2.2,1.2,1.8,2.1,2.3,2.5,2.7,2.8,2.9,3.1,4,4.3,4.6,4.8,4.5,4.8,5.6,6.2,6.4,6,7,7.3,8.4,10.2,10.2,10.9
Yemen,MtCO2e,6.2,8.1,8.8,7.7,8.2,9.4,9.6,10.4,11.2,12.6,13.4,14.4,14.6,16.8,17.8,18.9,18.8,20,21.2,24.82,23.43,20.45,18.7,25.15,25.63,12.93,10.73
Lithuania,MtCO2e,32.3,34.3,19.1,15.3,14.4,13.3,13.8,13.7,14.2,11.9,10.1,10.8,11,11,11.5,12.3,12.5,12.6,12.7,11.4,12.4,11.6,11.5,10.8,10.5,10.6,10.7
