Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0,0,0,0,0,0.09,0.09,0.09,0.09,0.09,0.01,0.01,0.01,0.01,0.01,0.01
Barbados,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,0
Maldives,MtCO2e,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,MtCO2e,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,MtCO2e,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-0.11,-0.11,-0.11,-0.11,-0.11,-0.54,-0.54,-0.54,-0.54,-0.54,0,0,0,0,0,0
Afghanistan,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,MtCO2e,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,
Djibouti,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,MtCO2e,-4.16,-4.16,-4.03,-4.03,-4.03,-4.03,-4.03,-4.03,-4.03,-4.03,-4.03,-3.53,-3.53,-3.53,-3.53,-3.53,-3.52,-3.52,-3.52,-3.52,-3.52,,,,,,
Grenada,MtCO2e,,,,,,,,,,,,0.35,0.35,0.35,0.35,0.35,-0.18,-0.18,-0.18,-0.18,-0.18,,,,,,
Jordan,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,MtCO2e,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.34,0.3,0.3,0.3,-0.13,-0.13,-0.13,-0.13,-0.13,,,0,,,,0,,0,,
Libya,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,MtCO2e,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,
Macedonia,MtCO2e,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,1.25,1.25,1.25,1.25,1.25,,,,,,,,,,,
Malta,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,MtCO2e,,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,,,,,,,,,,,
Qatar,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,MtCO2e,,,,,,,,,,,,,,,,,0.29,0.29,0.29,0.29,0.29,,,,,,
Saudi Arabia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,,,,,,,,,
Tonga,MtCO2e,,,,,,,,,,,,,,,,,-0.51,-0.51,-0.51,-0.51,-0.51,,,,,,
Turkmenistan,MtCO2e,,,,,,,,,,,,-0.29,-0.29,-0.29,-0.29,-0.29,,,,,,,,,,,
