Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mozambique,MtCO2e,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.1,0.1
Namibia,MtCO2e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nauru,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,MtCO2e,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Niger,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1
Niue,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,MtCO2e,,,,,,,0.1,0.1,0.1,,,,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Rwanda,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,MtCO2e,29.1,39.9,39.8,40.7,43.8,43.7,43.1,43.8,43.5,41.7,39.7,37.4,35.3,39.9,45.1,46.6,51.2,56,58.7,50.9,54.1,57.3,59.5,60.4,64.7,74.2,78.6
United Kingdom,MtCO2e,26.9,25.7,27.3,28.2,28.2,29.8,31.6,33.5,36.3,36,37.7,37.7,36.4,36.6,40,42.4,43.7,43.7,46.1,43.6,40.8,43.1,40.7,40.6,40.7,40.3,41
Saudi Arabia,MtCO2e,10.6,13.3,13.9,13.6,12.3,11.7,10.9,11.6,11.7,12,12.6,12.4,12.6,12.5,12.9,12.7,13.9,14.4,15,14.1,14.4,16.4,17.1,16.7,17.3,18.3,19.3
