Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bulgaria,MtCO2e,65.17,46.41,43.74,44.2,42.08,43.22,43.66,41.38,38.65,32.63,31.95,32.45,29.72,34,33.3,34.12,39.03,42.84,40.25,33.22,35.04,39.87,35.27,30.04,32.33,34.63,31.54
Guyana,MtCO2e,17.72,17.7,17.63,17.63,17.97,18.05,11.25,11.16,13.82,10.37,10.13,13.09,14.27,35.15,12.83,19.78,14.54,14.22,16.02,17.49,26.57,20.72,24.34,22.44,28.65,37.05,30.3
Bahrain,MtCO2e,10.76,10.36,12.29,13.09,13.39,13.58,14.17,14.36,15.49,15.46,15.83,16.43,17.22,17.94,17.94,20.73,22.54,23.04,24.75,24.75,26.03,26.06,26.57,28.77,30.22,30.62,30.12
Tunisia,MtCO2e,13.1,13.72,14.53,15.86,15.99,16.34,16.96,17.49,18.26,19.18,20.23,21.2,21.27,21.38,22.35,22.73,23.59,24.03,24.32,24.54,26.93,25.38,26.41,26.43,28.5,29.26,28.86
Madagascar,MtCO2e,42.8,42.88,42.85,42.88,43.12,43.11,42.52,42.23,43.08,42.8,41.75,30.71,25.52,26.84,28.37,28.98,36.42,37.92,35.67,40.4,39.32,27.37,24.94,29.54,27.53,26.63,27.28
Syria,MtCO2e,28,30.59,29.87,29.26,30.34,32.13,35.23,35.59,38.49,37.78,37.97,39.74,40.42,40.7,43.14,54.08,56.59,59.48,61.34,56.59,56.78,53.09,41.34,31.53,27.75,26.62,26.72
Laos,MtCO2e,8.66,8.68,8.7,8.7,8.72,8.79,8.91,9.04,9.12,9.36,9.37,17.06,17.32,17.27,17.57,17.58,17.71,17.06,17.1,17.34,17.7,17.67,17.71,17.6,17.87,26.53,26.56
Slovakia,MtCO2e,44.87,37.98,36.19,34.42,31.81,32.45,32.3,32.41,31.52,30.72,28.19,29.41,28.87,29.13,28.22,29.35,31.48,30.79,30.6,27.41,29.06,29.08,27.32,27.86,25.38,25.62,26.45
Jordan,MtCO2e,9.96,9.76,11.89,12.23,13.02,13.61,13.9,14.39,14.64,14.65,15.22,15.3,16.32,16.08,18.09,19.31,19.7,20.74,20.07,20.69,20.21,20.8,24.11,23.76,25.57,25.41,25.51
Lebanon,MtCO2e,5.61,6.99,7.02,10.29,11.26,13.27,14.08,16.05,16.23,17.03,15.63,16.84,16.73,17.35,17.76,17.2,15.66,14.22,18.08,21.8,20.74,21.07,23.4,23.13,24.8,25.03,25.43
Chad,MtCO2e,8.21,8.13,8.15,8.16,8.17,8.18,8.19,8.21,8.22,8.23,8.24,7.51,7.5,7.71,7.71,7.73,26.07,26.13,26.18,26.16,26.18,25.47,25.53,25.61,25.64,25.35,25.35
Guatemala,MtCO2e,19.18,19.27,20.05,20.33,20.67,21.65,21.42,21.8,23.49,23.44,24.69,25.03,25.72,25.61,26.29,26.76,27.49,28.42,27.21,27.71,27.31,19.2,19.6,20.43,21.54,24.04,25.14
Azerbaijan,MtCO2e,56.35,65.88,43.44,52.41,46.45,44.65,39.25,38.35,38.28,37.67,38.85,37.74,37.17,33.36,33.14,35.69,26.71,20.05,22.11,17.66,16.65,20.25,22.58,23.34,24.64,24.52,25.12
