Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gabon,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.08,0.07,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06
Burundi,MtCO2e,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.04,0.03,0.04,0.04
Afghanistan,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.03
Andorra,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,MtCO2e,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.04,0.03,0.05,0.05,0.06,0.06,0.06,0.03,0.01,0.02,,,,,
Italy,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,MtCO2e,33.48,32.74,32.99,34.84,36.31,37.08,37.31,38.56,39.46,40.24,41.45,41.61,43.16,43.35,45.89,46.19,46.85,45.51,41.42,29.61,31.45,32.21,35.27,36.37,39.44,39.91,39.44
Turkey,MtCO2e,10.44,12.02,13.27,13.05,13.49,14.13,14.66,15.1,15.29,14.59,15.18,15.09,15.51,16.02,17.21,19.12,20.84,22.78,24.84,26.56,29.28,30.53,30.45,32.99,33.47,32.62,35.72
Vietnam,MtCO2e,1.02,1.22,1.63,1.71,1.91,2.36,2.67,3.24,3.93,4.23,5.36,6.45,8.44,9.6,10.36,12.15,12.76,14.28,15.28,18.63,21.3,22.04,20.94,21.99,23.09,25.53,29.27
Saudi Arabia,MtCO2e,5.81,5.5,7.41,7.39,7.24,7.6,7.91,7.41,7.59,7.83,8.69,9.87,11.15,11.55,11.72,11.53,12.39,14.18,18.37,20.18,20.99,22.33,25.37,28.22,29.85,29.67,28.88
Mexico,MtCO2e,12.11,12.2,13.18,13.79,15.55,12.45,13.93,14.67,15.23,15.71,16.4,15.99,16.55,16.68,17.29,18.59,20.06,21.51,20.96,20.35,19.35,20.11,20.77,19.87,20.09,21.75,21.75
Russia,MtCO2e,,,26.72,21.99,16.48,16.65,12.72,12.27,11.92,13.17,15.11,15.86,17.12,18.67,20.92,22.26,24.54,27.64,23.63,19.75,22.69,25.09,26.25,27.2,26.37,23.07,20.34
Thailand,MtCO2e,7.68,7.66,9.27,11.41,12.7,14.82,16.47,15.78,9.66,10.78,10.85,11.84,13.41,13.74,15,15.91,16.41,14.7,13.13,14.09,12.1,12.84,13.13,14.93,14.66,15.18,15.18
Pakistan,MtCO2e,3.05,3.16,3.17,3.38,3.29,3.48,3.6,3.64,3.6,3.87,3.99,4.41,4.39,5.17,5.94,6.7,8.06,9.91,11.76,11.41,11.45,10.97,11.31,11.85,12.21,12.72,12.72
Philippines,MtCO2e,2.79,3.02,2.9,3.46,4.14,4.54,5.33,6.28,5.49,5.33,5.06,3.62,5.55,5.36,5.42,6.22,4.88,5.16,5.17,5.67,6.05,6.12,7.22,7.71,8.42,9.51,9.51
Spain,MtCO2e,12.28,11.7,10.44,9.91,11.5,12.36,12.11,12.75,13.81,14.43,14.73,15.01,15.53,16.04,16.29,16.79,16.74,16.82,14.39,11.4,11.2,9.52,8.75,7.64,8.9,9.22,9.41
Malaysia,MtCO2e,2.4,3.03,3.4,3.57,4.03,4.34,5,5.12,4.2,4.08,4.61,5.55,5.73,6.86,6.21,7.04,7.18,7.5,7.5,7.43,7.54,8.02,8.19,8.2,8.39,8.51,8.51
Nigeria,MtCO2e,1.44,1.44,1.43,1.31,1.07,1.06,1.03,1.02,1.09,1.01,1.01,0.97,0.84,0.92,0.92,1.07,1.3,1.82,3.85,3.85,3.86,4.59,6.12,7.78,7.75,8.14,8.14
Morocco,MtCO2e,2.07,2.85,3.13,3.13,3.13,3.12,3.18,3.45,3.5,3.51,3.74,4.72,4.93,5.15,5.57,5.27,5.66,6.38,7,7.39,7.26,7.04,7.91,8.2,7.64,7.78,7.78
Poland,MtCO2e,5.45,5.41,5.54,5.15,6.64,6.67,6.22,6.74,6.33,6.18,6.11,4.96,4.67,4.57,5.07,5.06,5.98,7.05,6.69,5.76,6.22,7.38,6.38,5.87,6.46,6.34,6.53
United Arab Emirates,MtCO2e,1.36,1.44,1.56,1.63,2.02,2.38,2.39,2.08,2.77,2.75,2.36,2.31,2.6,2.91,3.2,3.48,4.59,5.79,7.83,6.83,6.45,6.37,5.35,5.47,5.59,5.59,5.59
South Africa,MtCO2e,3.47,3.28,3.09,3.21,3.44,3.92,3.87,4.19,3.71,3.41,3.35,3.41,3.35,3.58,3.85,4.19,4.49,4.58,4.47,4.55,4.19,4.33,4.45,4.69,4.65,5.01,5.01
United Kingdom,MtCO2e,7.29,5.99,5.46,5.53,6.37,6.29,6.42,6.71,6.84,6.53,6.33,5.84,5.99,5.87,5.98,5.94,5.89,6.12,5.2,3.72,3.79,4.1,3.72,4.03,4.21,4.46,4.55
